"item_title","item_link","item_description","item_pub_date","item_guid"
"Uitstelbrief antwoorden Kamervragen over de problemen bij Esdégé-Reigersdaal","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/07/05/uitstelbrief-antwoorden-kamervragen-over-de-problemen-bij-esdege-reigersdaal","Staatssecretaris Maeijer (Langdurige en Maatschappelijke Zorg) meldt dat de antwoorden op vragen over de problemen bij Esdégé-Reigersdaal, later komen dan gebruikelijk. De vragen zijn van het Kamerlid Dobbe (SP).Uitstelbrief antwoorden Kamervragen over de problemen bij Esdégé-Reigersdaal",2024-07-05 15:16:58,"27b165d7-a828-46f6-bd66-d9023b223ef2"
"Antwoorden op Kamervragen over toename ervaren administratieve last zorgverleners","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/07/01/antwoorden-op-kamervragen-over-het-bericht-dat-73-van-de-zorgverleners-aangeeft-dat-de-tijd-die-ze-aan-administratie-besteden-de-laatste-vijf-jaar-is-toegenomen","Minister Helder (VWS) geeft antwoord op vragen over het bericht dat 73% van de zorgverleners aangeeft dat de tijd die ze aan administratie besteden de laatste 5 jaar is toegenomen. Het Tweede Kamerlid Dobbe (SP) heeft deze vragen gesteld.Antwoorden op Kamervragen over toename ervaren administratieve last zorgverleners",2024-07-02 14:01:30,"e285b0c4-0acb-4abe-a9e6-d1ed6cc035de"
"Antwoorden op Kamervragen over afhandeling misstanden danswereld en omgang met slachtoffers","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/07/01/antwoorden-op-kamervragen-over-de-afhandeling-van-de-misstanden-in-de-danswereld-en-de-omgang-met-slachtoffers","Minister Helder (VWS) geeft antwoord op vragen over de afhandeling van de misstanden in de danswereld en de omgang met slachtoffers. De Tweede Kamerleden Van Nispen (SP), Mohandis (PvdA), Van Dijk (CDA), Van Eijk (VVD) en Paulusma (D66) hebben deze vragen gesteld.Antwoorden op Kamervragen over afhandeling misstanden danswereld en omgang met slachtoffers",2024-07-02 13:53:21,"58a4e1f5-f0cf-4479-8618-b79d13dcf23a"
"Kamerbrief over voorstel onderzoek effecten uitbreiding DIMS","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/07/01/kamerbrief-over-voorstel-onderzoek-effecten-uitbreiding-dims","Minister Dijkstra (Medische Zorg) informeert de Tweede Kamer over de mogelijkheden voor het in kaart brengen van de effecten van het testen van drugs op preventie van gezondheidsrisico’s, en van de mogelijke gezondheidswinst op het gebied van preventie door de capaciteit van het Drugs Informatie en Monitoring Systeem (DIMS) te vergroten. Kamerbrief over voorstel onderzoek effecten uitbreiding DIMS",2024-07-01 14:18:54,"b844a517-c7b0-42ab-be24-10e29e029f86"
"Kamerbrief over stand van zaken post-COVID","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/07/01/kamerbrief-over-stand-van-zaken-post-covid","Minister Dijkstra (Medische Zorg) informeert de Tweede Kamer over diverse onderwerpen die betrekking hebben op post-COVID. Kamerbrief over stand van zaken post-COVID",2024-07-01 14:06:05,"5537eda5-ef59-4dfd-b5d4-5193c0caf8e7"
"Kamerbrief wijziging experiment bekostiging wijkverpleging","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/07/01/kamerbrief-over-voorhangbrief-wijziging-experiment-bekostiging","Minister Helder (VWS) informeert de Tweede Kamer over het voornemen om het experiment over de bekostiging in de wijkverpleging op basis van cliëntprofielen te wijzigen. De Eerste Kamer heeft eenzelfde brief gekregen.Kamerbrief wijziging experiment bekostiging wijkverpleging",2024-07-01 14:01:58,"fd5077a6-2a8f-4471-a73f-04291daa308d"
"Kamerbrief over aanbieding Gezondheidsraadadvies OCTN2 in hielprikscreening","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/07/01/kamerbrief-over-aanbieding-gezondheidsraadadvies-octn2-in-de-hielprikscreening","staatssecretaris Van Ooijen (VWS) biedt de Tweede Kamer het advies Neonatale screening op OCTN2-deficiëntie van de Gezondheidsraad aan.Kamerbrief over aanbieding Gezondheidsraadadvies OCTN2 in hielprikscreening",2024-07-01 09:36:01,"84f24bac-642f-4b7a-9408-06a34a2935de"
"Kamerbrief uitwerking motie bijschrijfplicht dagleidinggevenden","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/07/01/kamerbrief-uitwerking-motie-heerema-bijschrijfplicht-dagleidinggevenden","Staatssecretaris Van Ooijen (VWS) informeert de Tweede Kamer over de uitvoering van de motie-Heerema. Deze motie verzoekt de regering om de gevolgen van het Alcoholbesluit, met specifieke aandacht voor het misbruik van de alcoholwetvergunning, te monitoren en in de tussentijd op zoek te gaan naar alternatieven voor de bijschrijfplicht die een lastenverlichting voor horecaondernemers opleveren en voor de zomer met een voorstel te komen.Kamerbrief uitwerking motie bijschrijfplicht dagleidinggevenden",2024-07-01 09:09:51,"b43bfe6f-8646-4a8e-a2d1-6237fbb37b50"
"Antwoorden op Kamervragen over het onterecht verwijderen van foto's en video's van mensen met een zichtbare beperking","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/06/28/antwoorden-op-kamervragen-over-het-onterecht-verwijderen-van-foto-s-en-video-s-van-mensen-met-een-zichtbare-beperking","Staatssecretaris Van Huffelen (Digitalisering en Koninkrijksrelaties) geeft antwoord op vragen over het onterecht verwijderen van foto's en video's van mensen met een zichtbare beperking. De Tweede Kamerleden Kathmann en Westerveld (beiden GroenLinks-PvdA) hebben de vragen gesteld.Antwoorden op Kamervragen over het onterecht verwijderen van foto's en video's van mensen met een zichtbare beperking",2024-06-29 11:42:36,"78866094-cb42-4a4d-aba5-092d22fcd7fe"
"Verzamelbrief moties en toezeggingen sport en bewegen","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/06/28/kamerbrief-over-verzamelbrief-moties-en-toezeggingen-sport-en-bewegen","Minister Helder (VWS) informeert de Tweede Kamer over de moties en toezeggingen op het gebied van sport en bewegen.Verzamelbrief moties en toezeggingen sport en bewegen",2024-06-29 10:14:01,"726ddde7-7023-45e3-8e33-71b8bb378b71"
