"item_title","item_link","item_description","item_pub_date","item_guid"
"Kamerbrief over meerouderschap en gezag en meerpersoonsgezag","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/04/tk-aanbieding-van-het-adviesrapport-van-de-raad-voor-strafrechttoepassing-en-jeugdbescherming-over-meerouderschap-en-gezag-en-meerpersoonsgezag","Staatssecretaris Struycken (Rechtsbescherming)  informeert de Tweede Kamer over rapporten ter voorbereiding van besluitvorming over een wettelijke regeling voor de invoering van meerouderschap en/of meerpersoonsgezag. Kamerbrief over meerouderschap en gezag en meerpersoonsgezag",2024-10-07 10:27:12,"74b790ad-88b2-4309-8a31-06784b8f4a4d"
"Antwoorden op Kamervragen over het bericht 'Gesloten jeugdhulp in Fryslân komt terug: vijf opvangplekken in Drachten' ","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/07/antwoorden-op-kamervragen-over-het-bericht-gesloten-jeugdhulp-in-fryslan-komt-terug-vijf-opvangplekken-in-drachten","Antwoorden op Kamervragen over het bericht 'Gesloten jeugdhulp in Fryslân komt terug: vijf opvangplekken in Drachten'",2024-10-07 10:07:03,"9704f06b-8dde-4a00-a92f-32a32f1343a4"
"Kamerbrief met visie kabinet op dure geneesmiddelen en toelating tot basiszorgverzekering","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/04/kamerbrief-inzake-kabinetsvisie-over-dure-geneesmiddelen","Minister Agema (VWS) stuurt de Tweede Kamer namens het kabinet de visie op dure geneesmiddelen. Zij gaat met name in op de zogenoemde 'sluiswerking' bij de toelating van dure medicijnen tot het basispakket van de zorgverzekering. Dit betekent dat de overheid beoordeelt of dure medicijnen hun prijs waard zijn en kunnen worden vergoed. Kamerbrief met visie kabinet op dure geneesmiddelen en toelating tot basiszorgverzekering",2024-10-04 15:04:25,"ee944f3e-6900-460d-a7fe-b882667a7930"
"Uitstelbrief antwoorden Kamervragen over genderzorg voor jeugd","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/04/uitstelbrief-op-kamervragen-over-genderzorg-voor-jeugd","Staatssecretaris Karremans (Jeugd, Preventie en Sport) meldt de Tweede Kamer dat de antwoorden op vragen over genderzorg voor jeugd later komen dan gebruikelijk. De Tweede Kamerleden Westerveld en Slagt-Tichelman (beiden GroenLinks-PvdA) hebben de vragen gesteld.Uitstelbrief antwoorden Kamervragen over genderzorg voor jeugd",2024-10-04 12:32:15,"f867170d-5ebf-44dc-bb61-e0accf0e68f5"
"Antwoorden op Kamervragen over vergoeding voor spraakcomputers ","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/03/antwoorden-op-kamervragen-over-de-vergoeding-van-spraakcomputers-voor-mensen-die-zonder-hulp-niet-of-moeilijk-kunnen-communiceren","Minister Agema (VWS) geeft antwoord op vragen over de vergoeding van spraakcomputers voor mensen die zonder hulp niet of moeilijk kunnen communiceren. Het Tweede Kamerlid Westerveld (GroenLinks-PvdA) heeft de vragen gesteld.Antwoorden op Kamervragen over vergoeding voor spraakcomputers",2024-10-04 09:22:22,"01687d20-7e02-46b0-94cf-9e0de699f55e"
"Kamerbrief over stand van zaken medische kindzorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/03/kamerbrief-over-stand-van-zaken-medische-kindzorg","Staatssecretaris Maeijer (Langdurige en Maatschappelijke Zorg) informeert de Tweede Kamer over de stand van zaken op het gebied van de medische kindzorg. Zij gaat ook in op een aantal moties en toezeggingen. Kamerbrief over stand van zaken medische kindzorg",2024-10-04 08:16:53,"9bb5af01-e419-4652-8c9c-bbed6436a473"
"Kamerbrief reactie op advies OCTN2-deficiëntie en stand van zaken neonatale hielprikscreening","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/03/kamerbrief-over-beleidsreactie-gezondheidsraadadvies-octn2-deficientie-en-stand-van-zaken-neonatale-hielprikscreening","Staatssecretaris Karremans (Jeugd, Preventie en Sport) informeert de Tweede Kamer over de stand van zaken van de lopende uitbreiding van de neonatale hielprikscreening. Ook reageert de staatssecretaris op enkele adviezen rond de hielprikscreening, waaronder het Gezondheidsraadadvies over de aandoening Organische Cation Transporter 2 (OCTN2)-deficiëntie.Kamerbrief reactie op advies OCTN2-deficiëntie en stand van zaken neonatale hielprikscreening",2024-10-04 06:57:08,"98370c96-eff8-4a0b-8e15-957db572547a"
"Uitstelbrief antwoorden Kamervragen over bericht dat tieners geen vaccinaties meer krijgen","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/03/uitstelbrief-antwoorden-kamervragen-over-het-bericht-dat-tieners-geen-vaccinaties-meer-krijgen-in-verband-met-de-aanpassing-van-het-rijksvaccinatieprogramma-per-2025","Staatssecretaris Karremans (Jeugd, Preventie en Sport) meldt dat de antwoorden op vragen over het bericht dat tieners geen vaccinaties meer krijgen in verband met de aanpassing van het Rijksvaccinatieprogramma per 2025 later komen dan gebruikelijk. Het Tweede Kamerlid Claassen (PVV) heeft de vragen gesteld.Uitstelbrief antwoorden Kamervragen over bericht dat tieners geen vaccinaties meer krijgen",2024-10-03 13:54:53,"5331abe3-b609-4753-972a-bd5e6c77df83"
"Uitstelbrief Kamervragen over 70.000 mensen met migraine","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/03/uitstelbrief-antwoorden-kamervragen-over-de-internationale-dag-van-de-migraine-en-het-bericht-elke-dag-hebben-70-000-mensen-een-migraineaanval-maar-de-meesten-gaan-pas-na-een-jaar-naar-de-dokter","Minister Agema (VWS) meldt dat de antwoorden op de vragen over de Internationale Dag van de Migraine en het bericht ‘Elke dag hebben 70.000 mensen een migraineaanval, maar de meesten gaan pas na een jaar naar de dokter’ later komen dan gebruikelijk. Het Tweede Kamerlid Paulusma (D66) heeft de vragen gesteld.Uitstelbrief Kamervragen over 70.000 mensen met migraine",2024-10-03 13:45:28,"e16b1fa7-9cb4-42ec-8dbf-11325b1c1053"
"Antwoorden op Kamervragen over de aanpak van misstanden in de danswereld ","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/03/antwoorden-op-kamervragen-over-de-aanpak-van-misstanden-in-de-danswereld","Staatssecretaris Karremans (Jeugd, Preventie en Sport) geeft antwoord op vragen over de afhandeling van de misstanden in de danswereld en de omgang met slachtoffers. De Tweede Kamerleden Van Nispen (SP), Mohandis (PvdA), Van Dijk (CDA), Van Eijk (VVD) en Paulusma (D66) hebben deze vragen gesteld.Antwoorden op Kamervragen over de aanpak van misstanden in de danswereld",2024-10-03 13:21:43,"8b1b6a37-3411-4467-9734-df8e50d9ca48"
"Kamerbrief bij rapporten voor ambtelijke verkenning toekomst acute zorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/02/kamerbrief-over-aanbieden-rapporten-in-het-kader-van-ambtelijke-verkenning-naar-beleidsopties-voor-de-toekomst-van-de-45-minutennorm","Minister Agema (VWS) stuurt de Tweede Kamer enkele rapporten die zijn opgeleverd voor de ambtelijke verkenning naar beleidsopties voor de inrichting van de acute zorg. De minister geeft een korte toelichting op de verkenning en de rapporten.Kamerbrief bij rapporten voor ambtelijke verkenning toekomst acute zorg",2024-10-03 10:39:23,"d2c57b57-440f-4821-a62e-ff143ca3d4d5"
"Antwoorden op Kamervragen over stoppende verzorgenden","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/02/antwoorden-op-kamervragen-over-het-bericht-kwart-verzorgenden-denkt-aan-stoppen","Minister Agema (VWS) geeft antwoord op vragen over het bericht ‘Kwart verzorgenden denkt aan stoppen’. De Tweede Kamerleden Dobbe en Dijk (beiden SP) hebben deze vragen gesteld.Antwoorden op Kamervragen over stoppende verzorgenden",2024-10-02 15:08:55,"4b72790b-5a8d-4e74-90a6-b1e51b165c7c"
"Kamerbrief reactie op moties uit debat over donatie mpox-vaccins aan Afrikaanse landen","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/02/reactie-op-aangenomen-moties-plenair-debat-inzake-donatie-mpox-vaccins-aan-afrikaanse-landen","Minister Agema (VWS) reageert op de aangenomen moties die de Tweede Kamer heeft ingediend tijdens het debat van 11 september 2024 over de donatie van mpox-vaccins aan landen in Afrika.Kamerbrief reactie op moties uit debat over donatie mpox-vaccins aan Afrikaanse landen",2024-10-02 14:42:52,"3efcf19b-4853-4744-a626-28362e127b16"
"Kamerbrief stand van zaken voorstellen uit initiatiefnota ‘Geneesmiddelen weer binnen bereik’","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/02/kamerbrief-over-stand-van-zaken-wat-betreft-voorstel-2-en-3-uit-de-initiatiefnota-geneesmiddelen-weer-binnen-bereik","Minister Agema (VWS) informeert de Tweede Kamer over de stand van zaken van 2 voorstellen uit de initiatiefnota ‘Geneesmiddelen weer binnen bereik’ van het voormalige Tweede Kamerlid Van den Berg (CDA). Het gaat om een onderzoek naar  de prijzen van generieke geneesmiddelen die niet meer verkrijgbaar zijn, en om het aantrekkelijker maken van magistrale bereiding.Kamerbrief stand van zaken voorstellen uit initiatiefnota ‘Geneesmiddelen weer binnen bereik’",2024-10-02 14:37:07,"68dc934f-b2be-41f5-934d-226fa6b47794"
"Antwoorden op Kamervragen over impact op oversterftecijfers door vaccinatie- en sterftegegevens ","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/10/01/antwoorden-op-kamervragen-over-de-registratie-van-vaccinatie-en-sterftegegevens-en-mogelijke-impact-op-de-gerapporteerde-oversterfte","Staatssecretaris Karremans Jeugd,Preventie en Sport geeft antwoord op vragen over de registratie van vaccinatie- en sterftegegevens en de mogelijke impact op de gerapporteerde oversterfte. Het Tweede Kamerlid Van Meijeren (FVD) heeft de vragen gesteld.Antwoorden op Kamervragen over impact op oversterftecijfers door vaccinatie- en sterftegegevens",2024-10-01 12:27:16,"13d7a466-f2a7-402f-b470-cf8c0e0bdbc4"
"Kamerbrief ontwerpbesluit wijziging van het Besluit percentages drempel- en toetsingsinkomen zorgtoeslag 2025","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/09/30/kamerbrief-over-aanbieding-ontwerpbesluit-houdende-wijziging-van-het-besluit-percentages-drempel-en-toetsingsinkomen-zorgtoeslag-in-verband-met-gewijzigde-percentages-met-ingang-van-het-berekeningsjaar-2025","Minister Agema (VWS) stuurt de Tweede Kamer een ontwerpbesluit over de wijziging van het Besluit percentages drempel- en toetsingsinkomen zorgtoeslag in verband met gewijzigde percentages met ingang van het berekeningsjaar 2025. Eenzelfde brief is naar de Eerste Kamer gestuurd.Kamerbrief ontwerpbesluit wijziging van het Besluit percentages drempel- en toetsingsinkomen zorgtoeslag 2025",2024-09-30 13:20:52,"df75c6d5-2b89-4afe-bbb4-dfa219a271f2"
"Kamerbrief over opname borstkankermedicijn Trodelvy in basiszorgverzekering","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/09/27/kamerbrief-over-tijdelijk-opheffen-van-de-sluis-voor-trodelvy","Minister Agema (VWS) informeert de Tweede Kamer over de opname van het medicijn Trodelvy (sacituzumab govitecan) in het basispakket van de zorgverzekering. Trodelvy is een geneesmiddel voor een specifieke groep patiënten met borstkanker. Kamerbrief over opname borstkankermedicijn Trodelvy in basiszorgverzekering",2024-09-30 07:12:52,"103e6d65-7942-4ea0-aad2-e73aa43e0370"
"Aanbiedingsbrief antwoorden feitelijke vragen  over wijziging begroting VWS september 2024","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/09/27/feitelijke-vragen-inzake-inbreng-grt-regering-vws-36613-xvi-lijst-van-vragen","Minister Agema (VWS) en staatssecretaris Maeijer (Langdurige Welzijn en Sport, en Maatschappelijke Zorg) sturen de Tweede Kamer de antwoorden op feitelijke vragen over de wijziging van de begrotingsstaten van het ministerie van Volksgezondheid, Welzijn en Sport (VWS) voor het jaar 2024.  Aanbiedingsbrief antwoorden feitelijke vragen  over wijziging begroting VWS september 2024",2024-09-30 06:05:50,"c3979bc0-8e2e-4dcb-955c-c4ed786315c4"
"Kamerbrief bij eindrapporten over familierelaties, huiselijk geweld en kindermishandeling in Caribisch Nederland","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/09/27/kamerbrief-over-aanbieding-eindrapporten-familierelaties-huiselijk-geweld-en-kindermishandeling-in-caribisch-nederland","Staatssecretaris Karremans ( Jeugd, Preventie en Sport) stuurt de Tweede Kamere de eindrapporten 'Familierelaties, huiselijk geweld en kindermishandeling in Caribisch Nederland' van de Universiteit Leiden in samenwerking met de Universiteit Curaçao en Unicef. Hij gaat in op de bevindingen uit de rapporten en geeft zijn reactie.Kamerbrief bij eindrapporten over familierelaties, huiselijk geweld en kindermishandeling in Caribisch Nederland",2024-09-30 05:59:00,"82ebe743-2999-416e-8486-fd11eb0eb666"
"Kamerbrief met reactie op verzoek over vergoeding migrainegeneesmiddelen","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/09/27/kamerbrief-over-reactie-verzoek-krul-over-vergoeding-migraine-geneesmiddelen","Minister Agema (VWS) stuurt de Tweede Kamer een brief met een reactie op een opiniestuk van de voorzitter van Hoofdpijnnet over geneesmiddelen tegen migraine. Het Tweede Kamerlid Krul (CDA) had om een reactie gevraagd.Kamerbrief met reactie op verzoek over vergoeding migrainegeneesmiddelen",2024-09-27 18:47:13,"66cc7423-84bc-49af-a1d5-59c5446579d4"
