"item_title","item_link","item_description","item_pub_date","item_guid"
"Uitstelbrief op Kamervragen over correspondentie tussen IGJ en een huisarts","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/05/31/uitstelbrief-antwoorden-kamervragen-over-correspondentie-tussen-igj-en-een-huisarts","Minister Helder (VWS) meldt dat de antwoorden op vragen over correspondentie tussen IGJ en een huisarts later komen dan gebruikelijk. Het Tweede Kamerlid Van Houwelingen (FVD) heeft de vragen gesteld.Uitstelbrief op Kamervragen over correspondentie tussen IGJ en een huisarts",2024-05-31 11:08:20,"0533d132-4553-4922-94fd-2de23f2facbb"
"Uitstelbrief antwoorden Kamervragen over het bericht ‘Ziekenhuizen niet klaar voor toestroom van patiënten met meerdere ziekten’","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/05/31/uitstelbrief-antwoorden-kamervragen-over-het-bericht-ziekenhuizen-niet-klaar-voor-toestroom-van-patienten-met-meerdere-ziekten","Uitstelbrief antwoorden Kamervragen over het bericht ‘Ziekenhuizen niet klaar voor toestroom van patiënten met meerdere ziekten’",2024-05-31 10:54:25,"1ac5d513-d889-4d58-a4e5-231816946d5e"
"Kamerbrief over drie onderzoeksrapporten over de wijkverpleging","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/05/30/kamerbrief-over-drie-onderzoeksrapporten-over-de-wijkverpleging","Minister Helder (VWS) informeert de Tweede Kamer over de eindrapportage van het RIVM over de (door)ontwikkeling van herkenbare en aanspreekbare (H&A) wijkverpleging in de periode 2021-2023.  Kamerbrief over drie onderzoeksrapporten over de wijkverpleging",2024-05-30 09:06:04,"c1df1cb0-db95-4c0d-8f9a-6a2e86c83b97"
"Kamerbrief met beleidsreactie advies ‘Digitalisering van de zorg op de BES-eilanden'","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/05/29/beleidsreactie-advies-digitalisering-van-de-zorg-op-de-bes-eilanden","Staatssecretaris Van Ooijen (VWS) stuurt de Tweede Kamer de onderzoeksresultaten van het advies over de digitalisering van de zorg op de BES-eilanden. Kamerbrief met beleidsreactie advies ‘Digitalisering van de zorg op de BES-eilanden'",2024-05-30 09:04:46,"59f3773b-6056-4da3-88fc-54342f9a4c86"
"Kamerbrief over Verbeteragenda Doelgroepenvervoer","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/05/28/kamerbrief-over-verbeteragenda-doelgroepenvervoer","Staatssecretaris Van Ooijen (VWS) informeert de Tweede Kamer over de uitwerking van 5 thema’s van de Verbeteragenda Doelgroepenvervoer. Kamerbrief over Verbeteragenda Doelgroepenvervoer",2024-05-29 15:57:00,"54fc4bdf-ce5b-466d-8b7e-8d4a1df373c0"
"Kamerbrief over voortgang Professionals voor Maatwerk Multiproblematiek","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/05/29/kamerbrief-voortgang-professionals-voor-maatwerk-multiproblematiek","Minister Schouten (Armoedebeleid, Participatie en Pensioenen) stuurt de Tweede Kamer het onderzoeksrapport van de Professionals voor Maatwerk Multiproblematiek (PMM) over 2023. PMM helpt professionals van gemeenten en landelijke uitvoeringsorganisaties maatwerk te bieden bij vastgelopen multiprobleemsituaties van inwoners.Kamerbrief over voortgang Professionals voor Maatwerk Multiproblematiek",2024-05-29 11:02:00,"00d621b8-ae80-4be6-a81f-1452a214eae4"
"Kamerbrief over aanbieding advies omtrent vervolg ZonMw deelprogramma oversterfte","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/05/28/kamerbrief-over-aanbieding-advies-omtrent-vervolg-zonmw-deelprogramma-oversterfte","Minister Dijkstra (Medische Zorg) stuurt de Tweede Kamer het advies van ZonMw over het vervolg van het deelprogramma oversterfte. Kamerbrief over aanbieding advies omtrent vervolg ZonMw deelprogramma oversterfte",2024-05-29 06:31:36,"626c33b7-e8c2-4018-aee8-0fe7e489949e"
"Antwoorden op Kamervragen over artikel 'Nederland vormt belangrijke spil in illegale handel bedreigde diersoorten'","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/05/28/beantwoording-schriftelijke-vragen-over-het-artikel-nederland-vormt-belangrijke-spil-in-illegale-handel-bedreigde-diersoorten","Minister Van der Wal-Zeggelink (Natuur en Stikstof) geeft antwoord op schriftelijke vragen over het artikel 'Nederland vormt belangrijke spil in illegale handel bedreigde diersoorten'. De Tweede Kamerleden Eerdmans (JA21) en Teunissen (PvdD) hebben de vragen gesteld. Antwoorden op Kamervragen over artikel 'Nederland vormt belangrijke spil in illegale handel bedreigde diersoorten'",2024-05-29 06:18:24,"26b2e9ff-ffe2-4931-9e9d-d8d8d23f7f65"
"Kamerbrief over Jaarbeeld NVWA 2023 en Stand van Toezicht","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/05/28/brief-jaarbeeld-nvwa-2023-en-stand-van-toezicht","Minister Adema (LNV) biedt de Tweede Kamer het Jaarbeeld 2023 van de NVWA aan.Kamerbrief over Jaarbeeld NVWA 2023 en Stand van Toezicht",2024-05-28 14:27:53,"b0b41961-afdd-4c10-9290-50a4f6bb893a"
"Uitstelbrief antwoorden Kamervragen over buitensluiten Buurtzorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/05/28/uitstelbrief-antwoorden-kamervragen-over-het-bericht-jos-de-blok-vws-en-nza-hebben-buurtzorg-stelselmatig-buitengesloten","Minister Helder (VWS) meldt dat de antwoorden op vragen over het bericht “Jos de Blok: ‘VWS en NZa hebben Buurtzorg stelselmatig buitengesloten’” later komen dan gebruikelijk. Het Tweede Kamerlid Dobbe (SP) heeft de vragen gesteld.Uitstelbrief antwoorden Kamervragen over buitensluiten Buurtzorg",2024-05-28 09:56:06,"804fc92a-0d3e-44c1-8857-7776f6c62edf"
