"item_title","item_link","item_description","item_pub_date","item_guid"
"Kamerbrief over Donorvragenlijst","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/14/kamerbrief-over-donorvragenlijst","Kamerbrief over Donorvragenlijst",2023-12-14 11:01:38,"9adcdb43-7483-4dee-b98d-3b966974c651"
"Kamerbrief over Extramurale farmaceutische zorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/kamerbrief-over-extramurale-farmaceutische-zorg","Kamerbrief over Extramurale farmaceutische zorg",2023-12-13 16:51:37,"ae17ebc2-200e-4519-a87e-076ea0dc856d"
"Antwoorden op Kamervragen over de Zembla-reportage ‘Het transgenderprotocol’ ","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/antwoorden-op-kamervragen-over-de-zembla-reportage-het-transgenderprotocol","Antwoorden op Kamervragen over de Zembla-reportage ‘Het transgenderprotocol’",2023-12-13 16:41:56,"c4e73102-4077-46aa-a679-6e3512f1c5c9"
"Kamerbrief over Consultatieversie visie eerstelijnszorg 2030","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/kamerbrief-over-consultatieversie-visie-eerstelijnszorg-2030","Minister Kuipers (VWS) en minister Helder (Langdurige Zorg en Sport) informeren de Tweede Kamer over de conceptversie van de visie op de eerstelijnszorg in 2030, die op dit moment ook voorligt bij de achterbannen van de betrokken partijen.  Kamerbrief over Consultatieversie visie eerstelijnszorg 2030",2023-12-13 16:33:25,"418f4721-881e-4f70-9ac4-eaccb37fbcb6"
"Kamerbrief over Voortgang uitvoering bestuurlijke afspraken langdurige ggz","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/kamerbrief-over-voortgang-uitvoering-bestuurlijke-afspraken-langdurige-ggz","Kamerbrief over Voortgang uitvoering bestuurlijke afspraken langdurige ggz",2023-12-13 16:29:33,"9d0bef7b-faa8-46e0-bdab-d6521eab2897"
"Kamerbrief over voortgang Kabinetsreactie op Capaciteitsplan 2024-2027","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/kamerbrief-over-voortgang-kabinetsreactie-capaciteitsplan-2024-2027","Minister Kuipers (VWS) en minister Dijkgraaf (OCW) informeren de Tweede Kamer over de voortgang van de kabinetsreactie op het Capaciteitsplan 2024-2027 van het Capaciteitsorgaan zorgopleidingen.Kamerbrief over voortgang Kabinetsreactie op Capaciteitsplan 2024-2027",2023-12-13 15:33:47,"d28077c8-170c-45fc-8be0-9ae91fff081b"
"Antwoorden op Kamervragen over huisartsenzorg in Brunssum","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/antwoorden-op-kamervragen-over-de-huisartsenzorg-in-brunssum","Minister Kuipers (VWS) geeft antwoord op vragen over de huisartsenzorg in Brunssum. Het Tweede Kamerlid Dijk (SP) heeft de vragen gesteld. Antwoorden op Kamervragen over huisartsenzorg in Brunssum",2023-12-13 14:59:06,"b10fe9bd-7088-4db1-bf48-133889e52ed2"
"Kamerbrief over update doorlooptijden geneesmiddelen en routes tot pakkettoelating","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/kamerbrief-over-update-doorlooptijden-geneesmiddelen-en-routes-tot-pakkettoelating","Minister Kuipers (VWS) geeft de Tweede Kamer een update over de doorlooptijden van geneesmiddelen en de routes tot pakkettoelating van geneesmiddelen. Kamerbrief over update doorlooptijden geneesmiddelen en routes tot pakkettoelating",2023-12-13 14:58:07,"fe7b65c9-b69c-4c21-9ddf-984f73afb2fc"
"Kamerbrief over toezegging brief pijnbehandeling en aanbieding RIVM-advies uitvoering monitoringsfunctie 1e 1000 dagen","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/kamerbrief-over-toezegging-brief-pijnbehandeling-en-aanbieding-rivm-advies-uitvoering-monitoringsfunctie-eerste-1000-dagen","Minister Kuipers (VWS) informeert de Tweede Kamer over een toezegging om te bezien of er meer nodig is om informatie over de mogelijkheden van pijnbehandeling onder de aandacht te brengen van zwangeren. Daarnaast brengt de minister de Kamer  op de hoogte van het RIVM-rapport Advies uitvoering monitoringsfunctie eerste 1000 dagen. Kamerbrief over toezegging brief pijnbehandeling en aanbieding RIVM-advies uitvoering monitoringsfunctie 1e 1000 dagen",2023-12-13 14:55:20,"f0154b26-83d3-4692-a8ac-67e71f4aba69"
"Kamerbrief over voortgang op sturing op generieke functies voor elektronische gegevensuitwisseling","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/12/kamerbrief-over-voortgang-publieke-sturing-op-generieke-functies-voor-elektronische-gegevensuitwisseling","Minister Kuipers (VWS) informeert de Tweede Kamer over de sturing op generieke functies voor elektronische gegevensuitwisseling. Het digitaal kunnen uitwisselen van gegevens draagt bij aan het toegankelijk en betaalbaar houden van de zorg, op de korte en de langere termijn. Om passende zorg te kunnen leveren, moeten zorgverleners op het juiste moment kunnen beschikken over de juiste informatie op de juiste plek. De Eerste Kamer heeft een afschrift van deze brief.Kamerbrief over voortgang op sturing op generieke functies voor elektronische gegevensuitwisseling",2023-12-13 13:34:52,"e69480ca-9062-4cf9-9020-80ff994a054e"
